"Tidstämpel","Total poäng","Hur gammal är du?","Hur gammal är du? [Poäng]","Hur gammal är du? [Feedback]","Hur bra bedömer du att du är på att identifiera AI-genererade bilder?","Hur bra bedömer du att du är på att identifiera AI-genererade bilder? [Poäng]","Hur bra bedömer du att du är på att identifiera AI-genererade bilder? [Feedback]","GDPR:  Jag godkänner att mina anonyma resultat används för detta kandidatexamensarbete.","GDPR:  Jag godkänner att mina anonyma resultat används för detta kandidatexamensarbete. [Poäng]","GDPR:  Jag godkänner att mina anonyma resultat används för detta kandidatexamensarbete. [Feedback]","Jag förstår att jag har tillåtelse att avsluta formuläret precis när jag vill oavsett anledning.","Jag förstår att jag har tillåtelse att avsluta formuläret precis när jag vill oavsett anledning. [Poäng]","Jag förstår att jag har tillåtelse att avsluta formuläret precis när jag vill oavsett anledning. [Feedback]","1. Är bilden AI-genererad?","1. Är bilden AI-genererad? [Poäng]","1. Är bilden AI-genererad? [Feedback]","1. Varför tror du att den är AI-genererad/riktig?","1. Varför tror du att den är AI-genererad/riktig? [Poäng]","1. Varför tror du att den är AI-genererad/riktig? [Feedback]","2. Är bilden AI-genererad?","2. Är bilden AI-genererad? [Poäng]","2. Är bilden AI-genererad? [Feedback]","2. Varför tror du att den är AI-genererad/riktig?","2. Varför tror du att den är AI-genererad/riktig? [Poäng]","2. Varför tror du att den är AI-genererad/riktig? [Feedback]","3. Är bilden AI-genererad?","3. Är bilden AI-genererad? [Poäng]","3. Är bilden AI-genererad? [Feedback]","3. Varför tror du att den är AI-genererad/riktig?","3. Varför tror du att den är AI-genererad/riktig? [Poäng]","3. Varför tror du att den är AI-genererad/riktig? [Feedback]","4. Är bilden AI-genererad?","4. Är bilden AI-genererad? [Poäng]","4. Är bilden AI-genererad? [Feedback]","4. Varför tror du att den är AI-genererad/riktig?","4. Varför tror du att den är AI-genererad/riktig? [Poäng]","4. Varför tror du att den är AI-genererad/riktig? [Feedback]","5. Är bilden AI-genererad?","5. Är bilden AI-genererad? [Poäng]","5. Är bilden AI-genererad? [Feedback]","5. Varför tror du att den är AI-genererad/riktig?","5. Varför tror du att den är AI-genererad/riktig? [Poäng]","5. Varför tror du att den är AI-genererad/riktig? [Feedback]","6. Är bilden AI-genererad?","6. Är bilden AI-genererad? [Poäng]","6. Är bilden AI-genererad? [Feedback]","6. Varför tror du att den är AI-genererad/riktig?","6. Varför tror du att den är AI-genererad/riktig? [Poäng]","6. Varför tror du att den är AI-genererad/riktig? [Feedback]","7. Är bilden AI-genererad?","7. Är bilden AI-genererad? [Poäng]","7. Är bilden AI-genererad? [Feedback]","7. Varför tror du att den är AI-genererad/riktig?","7. Varför tror du att den är AI-genererad/riktig? [Poäng]","7. Varför tror du att den är AI-genererad/riktig? [Feedback]","8. Är bilden AI-genererad?","8. Är bilden AI-genererad? [Poäng]","8. Är bilden AI-genererad? [Feedback]","8. Varför tror du att den är AI-genererad/riktig?","8. Varför tror du att den är AI-genererad/riktig? [Poäng]","8. Varför tror du att den är AI-genererad/riktig? [Feedback]","9. Är bilden AI-genererad?","9. Är bilden AI-genererad? [Poäng]","9. Är bilden AI-genererad? [Feedback]","9. Varför tror du att den är AI-genererad/riktig?","9. Varför tror du att den är AI-genererad/riktig? [Poäng]","9. Varför tror du att den är AI-genererad/riktig? [Feedback]","10. Är bilden AI-genererad?","10. Är bilden AI-genererad? [Poäng]","10. Är bilden AI-genererad? [Feedback]","10. Varför tror du att den är AI-genererad/riktig?","10. Varför tror du att den är AI-genererad/riktig? [Poäng]","10. Varför tror du att den är AI-genererad/riktig? [Feedback]","11. Är bilden AI-genererad?","11. Är bilden AI-genererad? [Poäng]","11. Är bilden AI-genererad? [Feedback]","11. Varför tror du att den är AI-genererad/riktig?","11. Varför tror du att den är AI-genererad/riktig? [Poäng]","11. Varför tror du att den är AI-genererad/riktig? [Feedback]","12. Är bilden AI-genererad?","12. Är bilden AI-genererad? [Poäng]","12. Är bilden AI-genererad? [Feedback]","12. Varför tror du att den är AI-genererad/riktig?","12. Varför tror du att den är AI-genererad/riktig? [Poäng]","12. Varför tror du att den är AI-genererad/riktig? [Feedback]","13. Är bilden AI-genererad?","13. Är bilden AI-genererad? [Poäng]","13. Är bilden AI-genererad? [Feedback]","13. Varför tror du att den är AI-genererad/riktig?","13. Varför tror du att den är AI-genererad/riktig? [Poäng]","13. Varför tror du att den är AI-genererad/riktig? [Feedback]","14. Är bilden AI-genererad?","14. Är bilden AI-genererad? [Poäng]","14. Är bilden AI-genererad? [Feedback]","14. Varför tror du att den är AI-genererad/riktig?","14. Varför tror du att den är AI-genererad/riktig? [Poäng]","14. Varför tror du att den är AI-genererad/riktig? [Feedback]","15. Är bilden AI-genererad?","15. Är bilden AI-genererad? [Poäng]","15. Är bilden AI-genererad? [Feedback]","15. Varför tror du att den är AI-genererad/riktig?","15. Varför tror du att den är AI-genererad/riktig? [Poäng]","15. Varför tror du att den är AI-genererad/riktig? [Feedback]","Kommentar/Fråga (frivillig)","Kommentar/Fråga (frivillig) [Poäng]","Kommentar/Fråga (frivillig) [Feedback]"
"2024/03/17 5:51:48 em EET","11.00 / 15","19","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","dem andra jag sagt är AI har vart för att det 'r något som inte riktigt stämmer, som ett finger som ser skumt ut etc, men den här känns bara som att pälsen är för *smooth* idk","-- / 0","","Ja","0.00 / 1","","glasen längst till höger ser att ur att stå innuti varandra, lyktan i mitten är kinda wonky ","-- / 0","","Nej","1.00 / 1","","har den där cripsyness som inte AI får till? tror nyckelpigan skulle sätt slightly mer vague ut om det var AI","-- / 0","","Nej","0.00 / 1","","accuare water reflections, organic imperfections here and there thaty still makes sense","-- / 0","","Nej","1.00 / 1","","lite os'ker men igen... krispet...","-- / 0","","Ja","0.00 / 1","","vill säga AI för lite nitpicky saker, men liksom vad är det som försegår med grabbens vänstra ben? Om det inte är en prostetic eller nåt så vet jag inte vad","-- / 0","","Ja","1.00 / 1","","oooosäker idk man stenen ser fake ut och det känns som att grodans högra ""hand"" inte interagerar fysiskt med marken som den ska, den blev liksom platt som om den både hover-ar över marken medans den också är en del av den??","-- / 0","","Nej","1.00 / 1","","jag litar inte på den men har inga solid arguments, tror jag bara blir lite galen","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","skulle säga nej om det inte vore för hur *smoooth* fingrarna och speciellt fingernaglarna är, också lillfingret ser ut som att den fick en extra led","-- / 0","","Ja","0.00 / 1","","svårt för ibland ser verkligheten bara weird ut, liksom yeah hundens ben skulle kunna set ut så här mid-run men också nej","-- / 0","","Lite svårare än vad jag trodde det skulle va, men var fortfarande redo på att dessa saker kan bli tricky ibland. Lycka till på erat arbete och ha en fin dag!","-- / 0",""
"2024/03/17 5:53:15 em EET","8.00 / 15","23","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Ljuset på håret, skinnet och ögonen.","-- / 0","","Ja","1.00 / 1","","För len hud, håret är suddigt och allt ser för perfekt ut.","-- / 0","","Ja","0.00 / 1","","håret ser fake ut, vattnet ser också konstigt ut","-- / 0","","Nej","1.00 / 1","","ser ut som en vanlig bild på naturen, inget som sticker ut.","-- / 0","","Ja","1.00 / 1","","Kan vara riktigt fast med ett filter. Annars ser detta för ""perfekt"" ut för att vara riktig","-- / 0","","Ja","0.00 / 1","","Glaset och blommorna ser riktiga ut.","-- / 0","","Nej","1.00 / 1","","Bladen och nyckelpigan ser ritiga ut pga de små felen och imperfekta yta.","-- / 0","","Nej","0.00 / 1","","Mossan ser fake ut annars ser verkar den vara äkta","-- / 0","","Ja","0.00 / 1","","De små imperfektionerna gör så att den ser riktig ut.","-- / 0","","Ja","0.00 / 1","","Allt såg riktigt ut tills jag såg armarna och händerna, de ser plastiga ut. ","-- / 0","","Nej","0.00 / 1","","Ser ut som en vanlig bild med riktigt hög upplösning. ljuset och mossan verkar vara riktiga.","-- / 0","","Nej","1.00 / 1","","Djupet i bilden får mig att tro att den är riktig","-- / 0","","Ja","0.00 / 1","","Det ser antingen ut som ett filter eller så är den AI generated. Skinnet är för len.","-- / 0","","Ja","1.00 / 1","","Allt ser för lent och perfekt ut. Blomman har inga fläckar eller skador.","-- / 0","","Nej","1.00 / 1","","Håret och marken ser riktig ut ","-- / 0","","Det är svårt att veta om det är AI-genererad eftersom vissa filter kan ibland få bilden att se fake ut. Det är alltså svårt att veta vad som endast har en filter på sig och vad som faktiskt är AI-generated. ","-- / 0",""
"2024/03/17 6:10:28 em EET","13.00 / 15","21","-- / 0","","6","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/17 6:17:23 em EET","10.00 / 15","25","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/17 6:49:47 em EET","8.00 / 15","54","-- / 0","","6","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Ja","0.00 / 1","","För slät hy","-- / 0","","Ja","1.00 / 1","","För skarpt hår på mannen","-- / 0","","Nej","1.00 / 1","","Lagom skarpa fjun","-- / 0","","Nej","1.00 / 1","","Lagom skarp","-- / 0","","Ja","1.00 / 1","","För skarp päls","-- / 0","","Ja","0.00 / 1","","Fel reflektion","-- / 0","","Nej","1.00 / 1","","Lagom skärpa","-- / 0","","Nej","0.00 / 1","","Lagom blurrig","-- / 0","","Ja","0.00 / 1","","För skarp","-- / 0","","Nej","1.00 / 1","","Man ser ojämnheter","-- / 0","","Nej","0.00 / 1","","Känsla","-- / 0","","Ja","0.00 / 1","","För skarp bakgrund","-- / 0","","Ja","0.00 / 1","","Inget hår/prickar i armhålan","-- / 0","","Ja","1.00 / 1","","Konstigt ljus","-- / 0","","Nej","1.00 / 1","","Vet ej","-- / 0","","Kul!","-- / 0",""
"2024/03/17 7:37:03 em EET","10.00 / 15","53","-- / 0","","3","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/17 7:53:43 em EET","10.00 / 15","56","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Ja","0.00 / 1","","Onaturligt slät runt ögonen ","-- / 0","","Ja","1.00 / 1","","Fingrarna på mannen ser väldigt märkliga ut","-- / 0","","Nej","1.00 / 1","","Placeringen av fågels kropp i vattnet ser naturlig ut.  ","-- / 0","","Nej","1.00 / 1","","Skuggor från moln i vattnet ser äkta ut","-- / 0","","Ja","1.00 / 1","","Morrhåren på kattens vänstra sida ser onaturligt tjocka ut","-- / 0","","Nej","1.00 / 1","","Bra upplösning och kontraster ","-- / 0","","Nej","1.00 / 1","","Bra upplösning och kontraster ","-- / 0","","Nej","0.00 / 1","","Bra bildupplösning och kontraster ","-- / 0","","Ja","0.00 / 1","","Märklig kontrast på huvudet ","-- / 0","","Nej","1.00 / 1","","Ok kontraster ","-- / 0","","Ja","1.00 / 1","","Grodans högra fot ”svävar i luften”","-- / 0","","Nej","1.00 / 1","","Svårbedömd men vissa detaljer så som en gul ”stege” vid snökanten” tyder på att den är äkta ","-- / 0","","Ja","0.00 / 1","","Skinnet bakom blommorna är tydliga men inte vissa blommor som är på samma avstånd ","-- / 0","","Ja","1.00 / 1","","Lillfingret är onaturligt böjt ","-- / 0","","Ja","0.00 / 1","","Tassen på vänster bakfot är märkligt uppvinklad","-- / 0","","","-- / 0",""
"2024/03/17 8:42:13 em EET","11.00 / 15","22","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Ja","0.00 / 1","","Kontrasten mellan bakgrunden och människan. Några prickar till höger som såg lite konstigt ut.","-- / 0","","Ja","1.00 / 1","","Tycker det ser ut som ""typisk"" ai generering. Inte så verklig och lite suddig på vissa delar.","-- / 0","","Ja","0.00 / 1","","Svår men vattnet så lite konstigt ut och ansiktet lite överdetaljerat jämfört med resten.","-- / 0","","Nej","1.00 / 1","","Ser helt enkelt väldigt realistisk ut.","-- / 0","","Ja","1.00 / 1","","Pälsen på katten ser lite för bra ut för att va sant.","-- / 0","","Nej","1.00 / 1","","Inget speciellt som ser konstigt ut.","-- / 0","","Nej","1.00 / 1","","De små vita taggarna på bladet känns för detaljerat för att vara AI.","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","Ser verklig ut med många specifika detaljer exempelvis de som ser ut som någon typ av smuts mellan ögonen och näbben samt undersidan av näbben.","-- / 0","","Nej","1.00 / 1","","Människan såg verklig ut även ljussättningen på honom.","-- / 0","","Ja","1.00 / 1","","Nått med mossan som ser overkligt ut och ai genererat.","-- / 0","","Ja","0.00 / 1","","Svår, snön i nedre delen av bilden ser verkligt ut men berget ser lite fake ut.","-- / 0","","Nej","1.00 / 1","","Klädesplagget har mycket detaljer som får det att kännas som en icke AI genererad bild. Exempelvis hur den ser lite ""vikt"" ut här och där.","-- / 0","","Ja","1.00 / 1","","Handen ser inte riktig ut, speciellt fingrarna, ser animerade ut.","-- / 0","","Nej","1.00 / 1","","Ser äkta ut när man kollar på detaljerna kring att hunden är blöt om tassarna och upp på benen.","-- / 0","","","-- / 0",""
"2024/03/17 8:44:13 em EET","11.00 / 15","17","-- / 0","","6","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/17 9:10:17 em EET","12.00 / 15","31","-- / 0","","3","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/17 9:26:36 em EET","9.00 / 15","55","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Håret och ögonen","-- / 0","","Ja","1.00 / 1","","Ljuset ser artificiellt ut","-- / 0","","Nej","1.00 / 1","","Vattendropparna ","-- / 0","","Nej","1.00 / 1","","Ljuset och detaljerna i havet o isen","-- / 0","","Ja","1.00 / 1","","Morrhår är fel","-- / 0","","Ja","0.00 / 1","","Ljuset känslan","-- / 0","","Nej","1.00 / 1","","Detaljerna och det avbryta bladet ojämnhet","-- / 0","","Ja","1.00 / 1","","Känslan","-- / 0","","Nej","1.00 / 1","","Detaljerna på näbben","-- / 0","","Ja","0.00 / 1","","Sidoljuset","-- / 0","","Ja","1.00 / 1","","Känslan är plastig ","-- / 0","","Ja","0.00 / 1","","Skidspåren är stokastikt utslängda hänger inte ihop","-- / 0","","Ja","0.00 / 1","","Känslan och armen känns onaturrlig","-- / 0","","Nej","0.00 / 1","","Handen har detaljer som känns rimliga ","-- / 0","","Ja","0.00 / 1","","Hundens ögon och ben känns onaturliga 
","-- / 0","","","-- / 0",""
"2024/03/17 10:48:12 em EET","14.00 / 15","54","-- / 0","","3","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Många små detaljer i hud, hår och smycken som känns riktiga. Men mest magkänsla. ","-- / 0","","Ja","1.00 / 1","","Återigen magkänsla. Är inte alls säker. Men hans hans hand och hennes fina hårstrån ser lite märkliga ut. ","-- / 0","","Nej","1.00 / 1","","Oj, svårt. Vattnet ser skumt ut, men tror ändå att det är ett riktigt foto. ","-- / 0","","Nej","1.00 / 1","","Allt ser helt korrekt och levande ut. ","-- / 0","","Ja","1.00 / 1","","Klassisk suddig bakgrund. Pälsen ser på dina ställen inte äkta ut. Inte heller morrhåren. Men kan naturligtvis ha med exponering och ljus att göra. ","-- / 0","","Ja","0.00 / 1","","Fick slå tärning. Jättesvår. ","-- / 0","","Nej","1.00 / 1","","Detaljerna på nyckelpigan ser äkta ut. ","-- / 0","","Ja","1.00 / 1","","Både vattnet och mossan/undervegetationen ser skumt ut. ","-- / 0","","Nej","1.00 / 1","","Ser äkta ut. Små detaljer, smuts och avvikelser ser äkta ut. ","-- / 0","","Nej","1.00 / 1","","Händer, hår, byxorna som har en mobiltelefon och kanske ett par nycklar i sig ser helt trovärdiga ut. ","-- / 0","","Ja","1.00 / 1","","För mig saknas detaljer i mossan. Skärpedjupet är extremt kort, då borde marken grodan sitter på vara skarpt någonstans, och då ser den mer ut som grön rom. Känns konstruerad. Saknas också smuts, grässtrån som ligger fel osv. Lite för perfekt. ","-- / 0","","Nej","1.00 / 1","","Ser ingenting märkligt någonstans. Snö, berg, hus och träd ser äkta ut. ","-- / 0","","Nej","1.00 / 1","","Oj, svårt igen. 50/50. Chansar på att det är ett riktigt foto. ","-- / 0","","Ja","1.00 / 1","","Aaaaaargh!!! Känns lite för ”perfekt” så jag chansar på AI. ","-- / 0","","Nej","1.00 / 1","","Detaljerna i pälsen känns trovärdiga. Även den korta bit skarp mark som finns. Och så är det en viss rörelseoskärpa på öronen som känns rimlig och trovärdig","-- / 0","","Tidigare korta tester jag sprungit på har känt lättare. Här skulle jag inte bli förvånad över ett enda svar som visar sig vara felaktigt. Inom kort blir det nog nära nog omöjligt att med blotta ögat se skillnad. Kul test! Lycka till. ","-- / 0",""
"2024/03/18 1:49:31 fm EET","11.00 / 15","19","-- / 0","","5","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/18 8:06:12 fm EET","9.00 / 15","44","-- / 0","","1","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/18 10:35:59 fm EET","10.00 / 15","44","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Suddiga konturer","-- / 0","","Ja","0.00 / 1","","Onaturliga färger och anatomi","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","AI gillar katter","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Leran ser inte bra ut","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","Ljuset","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/18 10:42:44 fm EET","12.00 / 15","50","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Finger","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/18 11:44:20 fm EET","7.00 / 15","57","-- / 0","","5","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Ja","0.00 / 1","","Något känns artificiellt i ansiktet och et är för platt ljus i ansiktet, ljuset kan ju så klart vara upplättat framifrån...","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","ljus både fr vänster och höger ...","-- / 0","","Ja","0.00 / 1","","skuggorna faller lite märkligt","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","1.00 / 1","","nåt är fel med ljuset och med solen som speglas","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","skärpan stämmer inte i djupled","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/18 12:08:43 em EET","11.00 / 15","55","-- / 0","","3","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/18 2:07:40 em EET","8.00 / 15","50","-- / 0","","2","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","","-- / 0",""
